1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,3,3,3,3,3,3,2
2,2,4,4,4,4,4,4,2
2,3,4,5,5,4,5,4,2
2,2,3,3,3,3,3,3,2
3,4,5,6,6,5,6,5,1
3,4,6,4,7,6,7,6,1
3,4,5,6,6,5,7,7,1
3,4,6,4,7,6,7,6,1
2,2,2,2,2,4,2,8,2
2,2,2,2,2,2,2,2,2
2,2,3,3,3,7,8,9,2
3,4,6,4,7,6,7,6,1
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,7,7,1
3,4,5,4,7,6,7,7,1
3,4,5,6,6,5,6,5,1
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,2
3,4,5,6,6,5,6,5,1
3,4,6,4,7,6,7,6,1
3,4,5,4,7,5,7,7,1
3,4,6,4,7,6,7,6,1
3,4,7,1,5,1,9,10,1
1,1,1,7,1,8,10,1,1
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,3,3,3,3,11,3,2
2,2,3,3,3,3,3,3,2
3,4,6,4,7,6,7,6,1
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,7,7,1
3,4,5,6,6,5,6,7,1
3,4,5,6,6,5,6,5,1
2,2,2,2,2,2,2,2,2
4,1,4,1,5,1,9,11,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
4,3,4,4,7,4,4,4,1
3,4,6,4,7,6,7,6,1
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,7,7,1
3,4,5,4,7,6,7,7,1
3,4,5,6,6,5,6,5,1
3,4,6,6,6,9,6,10,1
1,1,1,7,8,8,12,12,1
1,1,1,7,1,8,1,1,1
2,2,2,2,2,2,2,2,2
4,1,4,1,5,1,9,11,1
2,2,3,3,3,3,3,3,2
2,3,4,4,7,4,4,4,2
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,7,7,1
3,4,5,6,7,5,7,7,1
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,6,5,1
3,1,1,1,1,1,13,10,1
1,1,1,7,1,8,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
4,3,4,1,5,4,9,11,1
2,2,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,2
3,4,6,4,7,6,7,6,1
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,6,5,1
3,4,5,6,6,5,6,5,1
2,3,4,5,5,4,5,4,2
4,3,4,1,5,4,9,11,1
1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
4,3,4,5,5,4,9,11,1
4,3,4,4,5,4,5,4,1
2,2,3,3,3,3,3,3,2
2,2,3,3,3,7,8,9,2
3,4,5,4,7,6,7,7,1
3,4,6,4,7,6,7,6,1
3,4,6,4,7,6,7,6,1
3,4,6,4,7,6,7,6,1
3,3,4,5,5,4,9,11,1
1,1,1,7,1,8,10,1,1
4,1,1,1,1,1,1,1,1
4,3,4,1,5,1,9,11,1
2,2,4,5,5,4,5,4,2
2,2,3,3,3,3,3,3,2
2,2,3,3,3,7,8,9,2
2,2,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,2
3,4,6,4,7,6,7,6,1
3,4,6,4,7,6,7,6,1
3,4,5,6,5,9,13,10,1
1,1,1,7,8,8,12,12,1
1,1,1,7,1,8,10,1,1
1,1,1,1,1,1,1,11,1
1,1,4,1,5,1,9,10,1
2,2,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,2
3,4,6,4,7,6,7,6,1
3,4,6,4,7,6,7,6,1
3,4,5,6,6,5,6,5,1
3,4,6,4,7,6,14,10,1
3,4,6,4,7,6,14,10,1
1,1,1,7,8,8,12,12,1
1,1,1,7,1,8,10,1,1
1,1,1,7,1,8,10,1,1
3,4,5,6,6,5,6,10,1
3,4,6,4,7,6,7,6,1
3,4,5,6,6,5,6,5,1
