-0.794,-1.103,-0.528,-0.268,-1.7,-0.928,-1.33,-0.388,-0.475,-1.516,0.1,-0.272,-1.939,-1.432,-1.023,-1.646,-1.557,-0.593,-0.059,-0.379,-0.715,-0.188,-0.022,-0.494,-0.114,-0.206,-0.232,0.434,-0.267,-0.407,-1.015,-0.229,-0.163,-0.278,-0.181,-0.89,1
-0.964,-0.891,-0.749,-0.762,-1.364,-0.67,-1.189,-0.22,-0.274,-1.324,0.128,0.039,-1.949,-1.283,-0.556,-1.418,-1.424,-0.225,0.127,-0.303,-0.439,-0.032,-0.039,-0.381,0.002,-0.142,-0.22,0.431,-0.28,-1.098,-0.929,-0.393,-0.161,-0.123,-0.025,-0.636,1
-1.112,-0.853,-0.685,-0.219,-1.736,-0.861,-1.245,-0.457,-0.504,-1.655,0.117,-0.113,-1.991,-1.385,-0.565,-1.561,-1.484,-0.392,-0.07,-0.487,-0.727,-0.154,-0.034,-0.504,-0.037,-0.465,-0.273,0.229,-0.404,-0.385,-0.969,-0.487,-0.407,-0.258,0.06,-0.913,1
-1.138,-0.76,-0.556,-0.723,-1.631,-0.715,-1.168,-0.453,-0.357,-1.17,0.062,0.057,-1.862,-1.309,-0.58,-1.312,-1.363,-0.323,0.244,-0.345,-0.613,-0.09,0.011,-0.388,0.044,-0.114,-0.359,0.299,-0.456,-0.29,-1.024,-0.587,-0.332,-0.301,0.292,-0.927,1
-0.927,-0.902,-0.782,-1.088,-1.746,-0.786,-1.323,-0.466,-0.538,-1.593,0.011,-0.137,-2.116,-1.57,-0.603,-1.389,-1.519,-0.334,0.112,-0.544,-0.699,-0.411,-0.087,-0.528,0.11,-0.559,-0.29,0.287,-0.559,-0.401,-0.967,-0.532,-0.386,-0.361,0.126,-0.976,1
-0.637,-0.773,-0.533,-0.898,-1.532,-0.527,-1.197,-0.298,-0.3,-1.371,0.119,0.115,-1.913,-1.49,-0.555,-1.253,-1.317,-0.258,0.131,-0.427,-0.516,-0.188,0.029,-0.419,0.364,-0.044,-0.314,0.299,-0.458,-0.377,-0.973,-0.431,-0.428,-0.237,0.256,-1.162,1
-0.765,-1.023,-0.67,-1.018,-1.774,-0.751,-1.368,-0.465,-0.615,-1.757,0.03,-0.158,-2.018,-1.551,-0.602,-1.433,-1.441,-0.437,0.021,-0.852,-0.833,-0.579,-0.088,-0.66,-0.01,-0.588,-0.363,0.277,-0.438,-0.519,-1.046,-0.575,-0.303,-0.464,0.063,-1.086,1
-0.705,-0.753,-0.635,-0.935,-1.568,-0.464,-1.199,-0.19,-0.345,-1.32,0.082,0.056,-1.881,-1.384,-0.431,-1.206,-1.287,-0.312,0.114,-0.49,-0.665,-0.333,-0.024,-0.565,0.534,-0.093,-0.385,0.196,-0.542,-0.466,-1.046,-0.518,-0.417,-0.318,0.27,-1.282,1
-1.914,-1.887,-2.083,-1.233,-2.771,-2.446,-1.678,-0.883,-1.089,-2.162,-1.251,-1.304,-3.252,-1.678,-2.34,-1.598,-2.706,-1.316,0.887,-0.015,-0.136,-0.028,-0.003,-0.01,0.024,-0.005,0.003,0.002,-0.002,-0.006,-0.178,0.001,0.573,-0.008,0.002,-0.149,1
-1.645,-1.217,-1.245,-0.953,-2.317,-2.154,-1.748,-0.889,-0.82,-1.765,-0.941,-0.975,-2.049,-1.331,-1.929,-1.429,-2.038,-0.685,0.792,-0.004,-0.006,-0.025,-0.002,-0.01,0.052,0,0.251,0,-0.002,-0.002,-0.072,0.001,0.487,-0.008,0.001,-0.093,1
-0.942,-0.946,-1.01,-1.252,-1.838,-0.901,-1.699,-0.432,-0.525,-1.973,-0.023,-0.372,-2.347,-1.754,-0.723,-1.658,-1.464,-0.481,-0.065,-0.94,-0.724,-2.531,-0.339,-1.072,0.194,-0.446,-0.57,0.205,-0.665,-1.069,-1.06,-0.709,-0.507,-0.598,0.053,-1.308,1
-0.814,-0.857,-0.542,-1.031,-1.589,-0.482,-1.335,-0.29,-0.357,-1.558,0.032,-0.121,-2.034,-1.704,-0.526,-1.348,-1.238,-0.391,-0.226,-0.422,-0.948,-0.624,-0.247,-0.855,0.163,-0.341,-0.522,0.164,-0.64,-0.563,-1.018,-0.608,-0.525,-0.42,0.326,-1.51,1
-1,-0.97,-0.911,-1.084,-1.76,-0.759,-1.489,-0.581,-0.521,-1.974,-0.239,-0.44,-2.331,-1.662,-0.594,-1.659,-1.522,-0.53,-0.245,-1.305,-0.71,-2.912,-0.215,-1.004,0.446,-0.651,-0.431,0.101,-0.653,-0.923,-1.09,-0.752,-0.429,-0.731,0.044,-1.3,1
-0.842,-0.804,-0.612,-1.01,-1.586,-0.519,-1.236,-0.28,-0.416,-1.422,0.002,-0.134,-2.132,-1.654,-0.499,-1.247,-1.306,-0.428,-0.331,-0.343,-0.753,-1.014,-0.212,-0.835,0.231,-0.267,-0.509,0.126,-0.609,-0.583,-1.086,-0.624,-0.362,-0.461,0.239,-1.626,1
