1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
2,2,2,2,2,3,2,2,2,2,2,2,2,3,2
1,3,1,3,3,2,3,3,3,3,3,3,3,4,1
3,3,3,4,4,4,4,4,4,4,4,4,4,5,1
3,3,3,4,4,5,5,5,5,5,5,5,5,6,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,4,4,4,5,5,5,5,5,5,5,6,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
3,3,3,4,4,5,5,5,5,5,5,5,5,6,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,3,2,3,3,3,3,3,3,3,2,1
2,2,2,2,2,3,2,2,2,2,2,2,2,3,2
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
3,3,3,4,4,4,5,5,5,5,5,5,5,6,1
3,3,3,4,4,4,4,4,4,4,5,5,5,5,1
3,3,3,4,4,4,4,4,4,4,4,4,4,5,1
3,4,4,5,5,5,5,7,7,5,5,7,5,8,1
2,2,2,2,2,3,2,2,2,2,2,2,2,3,2
1,1,5,6,6,6,6,8,8,7,7,8,7,9,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
2,2,2,2,2,3,2,6,6,8,6,6,6,10,2
1,1,5,6,6,6,6,8,8,7,8,9,8,11,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,1,5,6,6,6,6,8,8,9,9,10,9,12,1
1,1,5,6,6,6,6,3,9,7,7,8,10,9,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
1,1,5,6,6,6,6,8,8,7,8,8,7,9,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
1,1,1,1,1,1,7,9,10,10,10,11,11,13,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,3,1,3,7,2,1,1,1,1,1,12,1,2,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
2,2,2,2,2,3,2,6,6,6,2,6,6,7,2
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,1,5,6,6,1,7,10,11,11,11,10,9,14,1
1,1,1,1,3,2,3,3,10,10,3,3,3,4,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
2,2,2,2,2,3,2,2,2,2,2,2,2,3,2
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,1,1,1,3,7,3,3,10,10,3,3,3,9,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,1,5,6,6,7,6,3,10,10,7,8,10,9,1
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
2,2,2,2,2,3,2,6,6,6,6,6,6,7,2
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
2,2,2,2,8,8,2,2,2,2,2,2,2,3,2
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
3,4,4,5,5,9,8,7,7,12,12,7,12,15,1
3,3,3,4,4,4,5,5,5,5,13,13,13,16,1
3,3,3,4,4,4,5,5,5,5,5,5,5,6,1
3,4,4,5,5,9,8,7,12,12,14,14,14,15,1
3,4,4,5,5,9,8,7,7,12,12,7,12,15,1
3,3,3,7,4,5,5,5,5,5,13,13,13,16,1
2,2,2,2,2,3,2,2,2,2,2,2,2,3,2
2,2,2,8,8,8,9,11,13,13,15,15,15,17,2
2,2,2,8,8,8,9,11,13,13,15,15,15,17,2
1,1,1,1,3,2,3,3,10,10,3,3,3,4,1
1,1,1,1,1,1,7,9,10,10,3,3,11,13,1
3,4,4,5,5,9,8,7,12,12,12,7,12,15,1
3,3,3,4,4,4,4,4,4,4,4,4,13,5,1
3,3,3,4,4,4,5,5,5,5,13,13,13,16,1
3,4,4,5,5,9,8,7,12,12,14,14,14,18,1
1,1,1,1,3,2,3,3,10,10,3,3,3,4,1
1,1,1,1,3,2,3,3,10,10,3,3,3,4,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,3,1,3,3,2,3,3,10,10,3,3,3,4,1
1,1,5,6,6,10,7,10,14,11,11,10,9,14,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
2,2,2,2,8,8,2,2,2,2,2,2,2,3,2
1,1,5,6,6,6,6,8,8,7,7,8,7,19,1
2,2,2,2,2,3,2,2,2,2,2,2,2,3,2
1,3,1,3,3,2,3,3,10,10,3,3,3,4,1
3,3,3,4,4,4,5,5,5,5,13,13,13,16,1
1,1,5,6,6,6,6,8,8,7,8,9,7,11,1
1,3,3,4,4,4,4,4,4,4,4,4,4,5,1
2,2,2,8,8,8,9,11,13,13,15,15,15,17,2
